ID PREVISION SIC;CODIGO PROTOCOLO;NOMBRE;PROGRAMACION;PERIODICIDAD;FECHA;MES;N SEMANA;CODIGO ESPECIALIDAD;ESPECIALIDAD;HORAS;TIPO;ESTADO
396525;IA08;Turbinas de Correo Neumático;MANTENIMIENTO SEMESTRAL;"Mensual ; Cada 6mes(es); Comienza el año 2026; A partir de mayo; Cada semana 3: Lun(M)";11-05-26;mayo;19;57;M-POLIVALENTE;2;EXTERNA;
396526;IA08;Turbinas de Correo Neumático;MANTENIMIENTO SEMESTRAL;"Mensual ; Cada 6mes(es); Comienza el año 2026; A partir de mayo; Cada semana 3: Lun(M)";09-11-26;noviembre;45;57;M-POLIVALENTE;2;EXTERNA;
396561;IA11;Linear Coupler Unidad de Transferencia Correo Neumático;MANTENIMIENTO SEMESTRAL;"Mensual ; Cada 6mes(es); Comienza el año 2026; A partir de mayo; Cada semana 3: Lun(M)";11-05-26;mayo;19;57;M-POLIVALENTE;1,333333333;EXTERNA;
396562;IA11;Linear Coupler Unidad de Transferencia Correo Neumático;MANTENIMIENTO SEMESTRAL;"Mensual ; Cada 6mes(es); Comienza el año 2026; A partir de mayo; Cada semana 3: Lun(M)";09-11-26;noviembre;45;57;M-POLIVALENTE;1,333333333;EXTERNA;
397888;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;55;M-ELECTROMECANICA;2;INTERNA;
397889;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;55;M-ELECTROMECANICA;2;INTERNA;
397890;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;55;M-ELECTROMECANICA;2;INTERNA;
397891;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;55;M-ELECTROMECANICA;2;INTERNA;
397892;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;55;M-ELECTROMECANICA;2;INTERNA;
397893;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;55;M-ELECTROMECANICA;2;INTERNA;
397894;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;55;M-ELECTROMECANICA;2;INTERNA;
397895;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;55;M-ELECTROMECANICA;2;INTERNA;
397896;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;55;M-ELECTROMECANICA;2;INTERNA;
397897;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;55;M-ELECTROMECANICA;2;INTERNA;
397898;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;55;M-ELECTROMECANICA;2;INTERNA;
397899;I713;Estanque Criogénico;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;55;M-ELECTROMECANICA;2;INTERNA;
398960;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398961;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398962;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398963;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398964;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398965;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398966;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398967;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398968;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398969;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398970;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398971;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398972;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398973;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398974;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398975;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398976;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398977;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398978;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398979;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398980;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398981;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398982;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398983;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398984;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398985;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398986;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398987;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398988;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398989;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398990;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398991;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398992;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398993;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398994;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398995;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398996;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398997;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398998;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;51;M-ELECTRICIDAD;1,083333333;INTERNA;
398999;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399000;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399001;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399002;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399003;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399004;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399005;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399006;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399007;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399008;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399009;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399010;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399011;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399012;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399013;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399014;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399015;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399016;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399017;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399018;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399019;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399020;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399021;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399022;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399023;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399024;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399025;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399026;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399027;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399028;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399029;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399030;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399031;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;51;M-ELECTRICIDAD;1,083333333;INTERNA;
399080;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1;INTERNA;
399081;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1;INTERNA;
399082;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-03-26;marzo;9;51;M-ELECTRICIDAD;1;INTERNA;
399083;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-04-26;abril;14;51;M-ELECTRICIDAD;1;INTERNA;
399084;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";06-05-26;mayo;18;51;M-ELECTRICIDAD;1;INTERNA;
399085;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";10-06-26;junio;23;51;M-ELECTRICIDAD;1;INTERNA;
399086;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";08-07-26;julio;27;51;M-ELECTRICIDAD;1;INTERNA;
399087;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";05-08-26;agosto;31;51;M-ELECTRICIDAD;1;INTERNA;
399088;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-09-26;septiembre;36;51;M-ELECTRICIDAD;1;INTERNA;
399089;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-10-26;octubre;40;51;M-ELECTRICIDAD;1;INTERNA;
399090;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-11-26;noviembre;44;51;M-ELECTRICIDAD;1;INTERNA;
399091;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";09-12-26;diciembre;49;51;M-ELECTRICIDAD;1;INTERNA;
399092;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";07-01-26;enero;1;51;M-ELECTRICIDAD;1;INTERNA;
399093;I306;Transformadores;MANTENIMIENTO MENSUAL;"Mensual ; Cada 1mes(es); Comienza el año 2026; A partir de enero; Cada semana 2: Mié(M)";04-02-26;febrero;5;51;M-ELECTRICIDAD;1;INTERNA;
